Hex,Dec,Binary,Character/Token
0x00,0,00000000, (Space)
0x01,1,00000001,▘
0x02,2,00000010,▝
0x03,3,00000011,▀
0x04,4,00000100,▖
0x05,5,00000101,▌
0x06,6,00000110,▞
0x07,7,00000111,▛
0x08,8,00001000,◤
0x09,9,00001001,◥
0x0A,10,00001010,◢
0x0B,11,00001011,Invader
0x0C,12,00001100,Ghost
0x0D,13,00001101,Car
0x0E,14,00001110,Butterfly
0x0F,15,00001111,""""
0x10,16,00010000,$
0x11,17,00010001,:
0x12,18,00010010,?
0x13,19,00010011,(
0x14,20,00010100,)
0x15,21,00010101,>
0x16,22,00010110,<
0x17,23,00010111,=
0x18,24,00011000,+
0x19,25,00011001,-
0x1A,26,00011010,*
0x1B,27,00011011,/
0x1C,28,00011100,0
0x1D,29,00011101,1
0x1E,30,00011110,2
0x1F,31,00011111,3
0x20,32,00100000,4
0x21,33,00100001,5
0x22,34,00100010,6
0x23,35,00100011,7
0x24,36,00100100,8
0x25,37,00100101,9
0x26,38,00100110,A
0x27,39,00100111,B
0x28,40,00101000,C
0x29,41,00101001,D
0x2A,42,00101010,E
0x2B,43,00101011,F
0x2C,44,00101100,G
0x2D,45,00101101,H
0x2E,46,00101110,I
0x2F,47,00101111,J
0x30,48,00110000,K
0x31,49,00110001,L
0x32,50,00110010,M
0x33,51,00110011,N
0x34,52,00110100,O
0x35,53,00110101,P
0x36,54,00110110,Q
0x37,55,00110111,R
0x38,56,00111000,S
0x39,57,00111001,T
0x3A,58,00111010,U
0x3B,59,00111011,V
0x3C,60,00111100,W
0x3D,61,00111101,X
0x3E,62,00111110,Y
0x3F,63,00111111,Z
0x40,64,01000000,RND
0x41,65,01000001,INKEY$
0x42,66,01000010,PI
0x43,67,01000011,FN
0x44,68,01000100,POINT
0x45,69,01000101,SCREENS$
0x46,70,01000110,ATTR
0x47,71,01000111,AT
0x48,72,01001000,TAB
0x49,73,01001001,VAL$
0x4A,74,01001010,CODE
0x4B,75,01001011,VAL
0x4C,76,01001100,LEN
0x4D,77,01001101,SIN
0x4E,78,01001110,COS
0x4F,79,01001111,TAN
0x50,80,01010000,ASN
0x51,81,01010001,ACS
0x52,82,01010010,ATN
0x53,83,01010011,LN
0x54,84,01010100,EXP
0x55,85,01010101,INT
0x56,86,01010110,SQR
0x57,87,01010111,SGN
0x58,88,01011000,ABS
0x59,89,01011001,PEEK
0x5A,90,01011010,BIN
0x5B,91,01011011,USR
0x5C,92,01011100,STR$
0x5D,93,01011101,CHR$
0x5E,94,01011110,NOT
0x5F,95,01011111,[UNASSIGNED]
0x60,96,01100000,[UNASSIGNED]
0x61,97,01100001,[UNASSIGNED]
0x62,98,01100010,[UNASSIGNED]
0x63,99,01100011,[UNASSIGNED]
0x64,100,01100100,[UNASSIGNED]
0x65,101,01100101,[UNASSIGNED]
0x66,102,01100110,[UNASSIGNED]
0x67,103,01100111,[UNASSIGNED]
0x68,104,01101000,[UNASSIGNED]
0x69,105,01101001,[UNASSIGNED]
0x6A,106,01101010,[UNASSIGNED]
0x6B,107,01101011,[UNASSIGNED]
0x6C,108,01101100,[UNASSIGNED]
0x6D,109,01101101,[UNASSIGNED]
0x6E,110,01101110,[UNASSIGNED]
